,Economic cycle,Revenues,Costs,BS protection,Fed liquidity
31/07/2009,42.76,22.76,48.95,39.28,54.39
31/08/2009,46.33,28.13,44.50,39.23,62.81
30/09/2009,46.42,28.30,42.68,39.72,55.84
31/10/2009,47.93,27.47,41.12,41.25,74.16
30/11/2009,47.26,31.09,44.55,39.39,62.71
31/12/2009,46.30,31.31,47.28,44.50,52.06
31/01/2010,48.60,37.60,49.76,42.61,64.55
28/02/2010,47.51,39.56,53.04,41.04,72.54
31/03/2010,52.28,43.13,48.71,44.11,67.14
30/04/2010,53.63,46.96,54.05,46.33,53.62
31/05/2010,55.63,51.57,51.00,39.53,48.86
30/06/2010,51.11,45.91,44.02,38.28,52.47
31/07/2010,46.69,43.30,39.95,38.92,58.23
31/08/2010,45.49,39.75,38.69,37.17,42.45
30/09/2010,43.74,44.02,40.44,35.60,40.23
31/10/2010,49.39,49.18,41.01,34.51,37.70
30/11/2010,50.92,47.93,46.71,39.92,37.24
31/12/2010,56.57,53.00,52.61,44.15,53.96
31/01/2011,58.85,57.79,56.46,44.10,51.58
28/02/2011,60.34,58.96,56.25,46.05,65.38
31/03/2011,55.56,59.22,61.13,45.38,73.34
30/04/2011,53.75,58.16,60.05,45.14,73.87
31/05/2011,48.55,61.82,59.24,46.24,72.26
30/06/2011,47.34,58.93,54.37,45.85,77.77
31/07/2011,45.53,60.91,51.07,45.12,78.79
31/08/2011,42.30,54.68,50.02,44.15,78.78
30/09/2011,44.92,54.62,49.35,41.41,74.87
31/10/2011,44.44,53.38,46.84,41.61,70.54
30/11/2011,51.02,50.13,45.27,42.01,56.40
31/12/2011,54.17,50.49,38.06,37.79,63.24
31/01/2012,58.36,42.37,36.92,36.32,54.17
29/02/2012,62.48,47.85,39.94,36.38,59.59
31/03/2012,62.05,55.47,41.97,42.31,53.92
30/04/2012,56.85,52.65,42.68,45.11,42.08
31/05/2012,54.75,48.81,35.47,44.47,47.67
30/06/2012,48.56,41.67,33.86,44.05,28.80
31/07/2012,44.45,38.33,31.86,42.57,37.73
31/08/2012,44.22,37.44,33.69,45.19,37.99
30/09/2012,50.16,39.00,35.62,43.10,26.41
31/10/2012,54.06,36.73,38.57,44.13,29.00
30/11/2012,53.43,39.24,41.52,43.03,51.56
31/12/2012,50.05,43.36,40.98,45.72,48.74
31/01/2013,52.12,45.34,41.14,45.40,62.41
28/02/2013,54.21,49.14,41.93,45.98,62.71
31/03/2013,53.11,48.33,40.06,45.96,69.88
30/04/2013,51.06,43.20,36.30,44.64,60.52
31/05/2013,53.80,37.08,33.31,50.70,72.70
30/06/2013,54.93,39.72,33.63,55.02,60.11
31/07/2013,56.62,37.76,36.55,55.73,67.52
31/08/2013,54.11,42.68,39.89,56.76,71.44
30/09/2013,54.44,40.45,40.77,54.71,65.60
31/10/2013,50.85,40.39,37.85,53.73,82.07
30/11/2013,52.28,47.26,39.11,53.69,70.84
31/12/2013,57.00,46.42,35.87,55.26,64.78
31/01/2014,56.04,50.26,40.65,53.87,71.92
28/02/2014,52.45,44.94,42.10,54.90,69.88
31/03/2014,55.34,47.33,44.76,57.41,63.74
30/04/2014,60.22,49.68,48.54,58.25,67.70
31/05/2014,59.53,50.68,44.85,55.95,69.74
30/06/2014,59.83,53.72,46.34,55.17,63.06
31/07/2014,59.71,52.63,44.68,55.37,66.82
31/08/2014,64.82,49.92,40.43,54.27,62.22
30/09/2014,59.48,50.06,36.16,54.83,53.28
31/10/2014,60.90,47.39,36.37,52.04,57.63
30/11/2014,59.62,50.07,33.30,53.80,44.79
31/12/2014,61.66,44.25,32.85,52.29,41.80
31/01/2015,58.78,45.83,28.01,46.35,45.20
28/02/2015,55.41,40.39,27.44,49.24,45.55
31/03/2015,53.51,43.92,25.06,49.71,58.04
30/04/2015,54.84,42.60,26.46,49.48,34.97
31/05/2015,55.37,42.42,30.81,52.86,37.97
30/06/2015,54.40,42.64,33.59,54.49,32.68
31/07/2015,53.65,41.43,36.60,54.81,31.37
31/08/2015,54.62,49.31,38.33,49.98,41.25
30/09/2015,49.37,47.52,33.86,49.50,19.71
31/10/2015,50.42,44.95,29.37,50.81,53.15
30/11/2015,46.69,38.52,30.04,50.87,45.53
31/12/2015,47.80,37.19,29.59,51.95,22.63
31/01/2016,46.29,42.08,29.42,48.62,21.24
29/02/2016,46.83,38.06,32.08,45.94,34.06
31/03/2016,48.09,47.64,34.17,49.24,30.95
30/04/2016,48.56,42.26,34.65,48.69,25.06
31/05/2016,49.97,44.18,35.46,47.11,23.19
30/06/2016,48.81,48.70,37.53,44.73,28.40
31/07/2016,51.08,51.20,42.25,45.72,29.18
31/08/2016,47.52,47.25,41.50,47.36,24.44
30/09/2016,51.26,47.18,41.47,46.51,22.25
31/10/2016,49.17,50.52,39.68,48.51,19.47
30/11/2016,54.96,46.90,45.70,54.85,20.70
31/12/2016,58.63,46.87,44.54,57.08,24.47
31/01/2017,62.61,50.14,52.47,57.98,25.56
28/02/2017,61.71,59.61,53.78,57.14,43.88
31/03/2017,60.89,59.71,55.33,60.28,54.39
30/04/2017,57.75,59.44,51.72,60.95,52.79
31/05/2017,57.61,58.82,52.93,60.76,50.02
30/06/2017,55.37,51.69,50.18,62.14,51.39
31/07/2017,53.05,53.63,49.67,62.50,54.68
31/08/2017,52.54,46.72,43.21,61.14,56.74
30/09/2017,56.36,51.96,46.44,60.72,42.65
31/10/2017,57.95,58.25,51.37,61.98,55.61
30/11/2017,60.04,55.93,53.66,61.62,53.72
31/12/2017,59.59,63.78,58.76,60.30,55.31
31/01/2018,61.97,68.91,52.54,62.13,35.61
28/02/2018,62.76,64.86,57.08,63.92,31.94
31/03/2018,59.36,65.93,59.18,65.93,29.84
30/04/2018,57.75,56.48,60.24,66.04,23.06
31/05/2018,59.93,55.93,57.07,66.25,23.82
30/06/2018,59.36,65.68,57.50,65.93,22.46
31/07/2018,55.77,54.51,56.86,65.74,22.30
31/08/2018,54.78,61.39,57.25,64.98,19.01
30/09/2018,56.40,61.46,53.47,63.78,18.57
31/10/2018,56.18,54.18,56.88,63.37,27.21
30/11/2018,51.23,62.09,58.05,64.64,25.60
31/12/2018,44.85,65.44,53.82,63.09,22.67
31/01/2019,40.09,47.22,52.86,60.79,19.38
28/02/2019,43.91,53.39,45.47,58.99,27.31
31/03/2019,45.59,48.09,43.44,52.62,31.86
30/04/2019,48.37,49.59,41.63,56.69,23.44
31/05/2019,47.96,55.82,45.93,52.45,36.15
30/06/2019,48.09,51.50,44.55,49.94,34.71
31/07/2019,50.29,54.99,40.48,48.65,40.70
31/08/2019,45.19,60.20,40.58,46.42,39.92
30/09/2019,46.26,56.84,38.01,45.96,30.39
31/10/2019,44.45,54.99,36.24,45.62,40.77
30/11/2019,48.02,53.46,35.70,44.52,45.21
31/12/2019,52.94,50.37,35.86,49.25,55.74
31/01/2020,54.99,52.82,41.82,43.02,56.70
29/02/2020,56.44,64.71,39.08,42.91,54.28
31/03/2020,38.75,56.86,33.09,37.22,68.48
30/04/2020,18.86,46.27,28.95,37.86,69.08
31/05/2020,17.02,42.35,28.55,38.96,69.26
30/06/2020,27.74,46.40,30.47,37.53,68.94
31/07/2020,40.77,58.95,30.75,38.94,68.61
31/08/2020,46.62,62.81,37.09,41.96,68.75
30/09/2020,49.18,63.81,41.58,45.22,67.87
31/10/2020,56.60,61.04,42.96,43.51,57.96
30/11/2020,55.28,58.14,47.45,43.41,55.07
31/12/2020,51.25,58.26,47.96,42.51,70.26
31/01/2021,52.63,59.00,54.23,42.67,76.50
28/02/2021,49.73,64.47,58.69,43.97,73.34
31/03/2021,54.92,56.14,63.64,51.15,77.76
30/04/2021,65.69,63.88,67.60,51.88,81.89
31/05/2021,65.71,74.11,72.81,50.47,78.98
30/06/2021,63.19,80.81,73.22,50.43,73.33
31/07/2021,59.44,76.94,74.33,48.17,81.91
31/08/2021,55.47,69.08,73.95,47.80,82.56
30/09/2021,52.97,79.56,74.06,46.51,75.17
31/10/2021,52.48,78.29,74.70,50.87,72.41
30/11/2021,54.80,76.42,73.79,53.04,72.78
31/12/2021,57.60,83.24,73.60,52.99,74.51
31/01/2022,54.27,82.69,75.29,56.73,57.59
28/02/2022,53.04,79.37,75.12,59.56,55.54
31/03/2022,50.47,82.32,77.73,64.00,54.31
30/04/2022,50.95,79.88,80.41,66.17,47.53
31/05/2022,48.91,80.55,80.20,68.91,39.08
30/06/2022,43.08,78.83,80.56,68.31,39.98
31/07/2022,41.25,79.35,75.45,68.70,38.64
31/08/2022,44.13,70.56,73.00,68.97,30.34
30/09/2022,45.30,69.87,66.08,67.21,25.42
31/10/2022,43.89,69.51,63.45,67.25,27.86
30/11/2022,40.56,70.37,63.21,68.15,22.26
31/12/2022,39.80,62.29,57.94,67.92,24.71
31/01/2023,43.17,58.79,52.57,67.22,26.81
28/02/2023,47.55,64.33,54.23,67.05,29.55
31/03/2023,43.58,62.29,49.49,66.73,44.95
30/04/2023,43.67,55.49,47.29,67.24,43.66
31/05/2023,39.90,55.46,44.76,67.62,45.62
30/06/2023,46.81,50.21,41.46,68.13,47.74
31/07/2023,46.00,54.59,39.81,67.98,42.31
31/08/2023,45.62,58.34,41.17,67.90,38.81
30/09/2023,45.12,53.24,45.40,66.88,28.78
31/10/2023,42.43,55.95,53.86,66.11,31.87
30/11/2023,41.06,57.56,48.87,63.15,32.57
31/12/2023,44.09,52.13,44.50,59.61,35.27
31/01/2024,47.63,59.75,42.11,59.08,33.43
29/02/2024,44.83,50.94,41.82,61.05,34.66
31/03/2024,47.58,45.53,48.70,60.02,36.10
30/04/2024,42.15,48.07,47.70,61.69,33.38
31/05/2024,45.28,47.41,49.22,61.09,32.19
30/06/2024,39.69,47.89,46.94,59.76,26.22
31/07/2024,41.66,50.84,47.02,57.80,30.57
31/08/2024,38.80,53.85,43.47,52.61,32.96
30/09/2024,43.24,53.13,42.66,48.52,23.82
31/10/2024,45.24,60.75,42.07,52.41,34.91
30/11/2024,49.39,57.19,44.13,55.61,30.75
31/12/2024,48.75,58.11,47.44,58.93,34.72
